ORDER ID,ORDER DATE,CUSTOMER ID,PRODUCT ID,TRANSACTION ID,UNITS IN ORDER,ORDER TOTAL
110570,2020-01-08,100000001,2113413915,510570,3,33.21
112718,2021-08-04,100000001,2363094138,512718,1,64.638
112438,2017-03-26,100000001,6511971572,512438,2,86.184
109987,2021-03-23,100000003,5050067655,509987,6,365.6016
110061,2016-09-17,100000003,1893735141,510061,1,8.0262
112535,2020-04-08,100000003,1737807900,512535,5,46.865
111823,2022-03-06,100000003,9730446421,511823,6,653.8896
112060,2017-03-12,100000003,8675740287,512060,5,173.173
111546,2018-06-26,100000005,3305177499,511546,8,690.336
110025,2018-07-30,100000005,1284609276,510025,4,213.84
110779,2022-08-12,100000005,2113413915,510779,6,66.42
112413,2019-01-10,100000005,2178891798,512413,8,130.824
111819,2019-06-25,100000007,2524845521,511819,10,610.452
112212,2020-09-09,100000007,8262662751,512212,10,1021.977
110518,2021-07-20,100000007,7425260271,510518,5,164.796
110717,2020-08-11,100000007,8713824671,510717,10,451.98
111468,2020-03-13,100000007,2963300774,511468,1,70.5033
112665,2016-10-06,100000007,5127562193,512665,6,166.7304
113252,2017-01-24,100000007,6697166886,513251,3,206.9064
112013,2021-06-08,100000010,1284609276,512013,5,297
111825,2017-02-23,100000010,9870137717,511825,3,29.7
112619,2022-03-24,100000010,6719567315,512619,6,287.28
111049,2017-05-02,100000010,1319286996,511049,5,140.7
113202,2019-08-09,100000010,5509524170,513202,1,79.8
110971,2017-12-07,100000011,8262662751,510971,3,323.0766
109826,2022-03-20,100000011,6182617964,509826,2,199.92
110941,2018-11-10,100000011,4584868492,510941,8,481.2192
112849,2016-11-06,100000011,6511971572,512849,3,140.7672
111417,2018-05-05,100000012,7010679527,511417,8,510.72
112273,2018-06-22,100000012,5997626126,512273,6,237.3
113230,2020-04-07,100000013,2588421965,513230,5,72.864
112498,2019-04-15,100000013,5997626126,512498,9,495.558
109819,2016-12-11,100000013,9223468295,509819,1,21.9696
111195,2018-04-13,100000013,3495221948,511195,3,345.4416
111040,2021-05-16,100000016,1319286996,511040,2,55.7172
110006,2019-06-18,100000016,7645689457,510006,2,18.7704
110155,2021-10-23,100000016,8262662751,510155,5,543.9555
111812,2017-03-07,100000016,5509524170,511812,5,395.01
110660,2021-11-22,100000016,4291344502,510660,9,495.5742
112585,2019-12-20,100000019,3405268556,512585,7,162.0528
110626,2020-12-03,100000020,1336619171,510626,2,116.1888
111418,2022-07-27,100000020,1893735141,511418,5,40.131
109908,2019-09-09,100000020,1336619171,509908,10,580.944
110350,2019-12-09,100000025,3126356136,510350,9,809.19
110492,2018-03-12,100000025,7690258628,510492,10,197.37
111319,2020-07-09,100000025,6697166886,511319,1,66.744
111644,2017-02-04,100000025,4291344502,511644,8,400.464
112242,2018-06-11,100000025,2963300774,512242,7,477.603
111061,2021-03-02,100000025,1489444777,511061,8,343.872
112682,2016-06-18,100000028,6697166886,512682,3,218.0304
110043,2016-02-25,100000028,1319286996,510043,8,220.6176
112880,2018-11-11,100000028,6661671897,512880,9,448.3206
110369,2022-07-21,100000028,7270957383,510369,2,58.506
111666,2022-02-19,100000030,8213207925,511666,1,21.6216
113128,2018-03-27,100000030,1489444777,513128,4,173.8464
110775,2020-12-03,100000031,8675740287,510775,7,258.4274
112442,2016-06-23,100000031,6511971572,512442,5,232.218
111266,2017-06-12,100000031,8675740287,511266,7,258.4274
112845,2016-11-10,100000034,2524845521,512845,2,131.28
112371,2018-07-30,100000034,6697166886,512371,7,519.12
110817,2019-09-26,100000035,8241463559,510817,8,390.04
111214,2017-12-08,100000035,9873264896,511214,4,42.6888
111931,2019-05-11,100000035,1284609276,511931,7,407.484
111206,2018-04-04,100000036,6228611532,511206,5,157.41
110413,2020-09-02,100000036,9223468295,510413,10,236.412
112614,2020-06-16,100000037,2430071492,512614,2,83.72
110947,2017-12-30,100000037,3405268556,510947,3,76.32
111138,2022-09-04,100000038,1319286996,511138,2,53.466
112738,2021-05-14,100000038,3126356136,512738,9,854.145
